round,time_no_zkp,time_zkp,comm_no_zkp,comm_zkp,comm_proofs
1,15.204951047897339,13.744856119155884,133069600,133073160,3560
2,15.749372005462646,12.121020078659058,133069600,133073160,3560
3,15.316098928451538,12.41003704071045,133069600,133073160,3560
4,15.063685178756714,12.478189945220947,133069600,133073160,3560
5,14.702013969421387,12.19522476196289,133069600,133073160,3560
6,14.441929817199707,12.795106172561646,133069600,133073160,3560
7,15.184201002120972,12.93140721321106,133069600,133073160,3560
8,15.207198143005371,13.489071130752563,133069600,133073160,3560
9,15.52667498588562,16.570448875427246,133069600,133073160,3560
10,14.531667232513428,13.276867151260376,133069600,133073160,3560
11,15.046671867370605,13.681758165359497,133069600,133073160,3560
12,15.076059818267822,12.295208215713501,133069600,133073160,3560
13,14.8015878200531,13.88587212562561,133069600,133073160,3560
14,14.41963505744934,12.728368997573853,133069600,133073160,3560
15,13.85176968574524,14.760641098022461,133069600,133073160,3560
16,14.512832164764404,12.454110145568848,133069600,133073160,3560
17,15.475252866744995,14.040663719177246,133069600,133073160,3560
18,14.526551008224487,12.353458881378174,133069600,133073160,3560
19,15.312857151031494,14.045445203781128,133069600,133073160,3560
20,15.25365924835205,12.850670099258423,133069600,133073160,3560
21,15.36283802986145,13.974958181381226,133069600,133073160,3560
22,14.615866899490356,11.89294695854187,133069600,133073160,3560
23,15.495857000350952,14.50588321685791,133069600,133073160,3560
24,14.552843809127808,12.793000221252441,133069600,133073160,3560
25,14.350215911865234,13.661241054534912,133069600,133073160,3560
26,15.584378242492676,12.54676103591919,133069600,133073160,3560
27,14.756852388381958,14.493968725204468,133069600,133073160,3560
28,15.241028070449829,11.75121784210205,133069600,133073160,3560
29,14.005831003189087,14.132704019546509,133069600,133073160,3560
30,14.489419937133789,13.126532793045044,133069600,133073160,3560
